id_proveedor,proveedor,pais
P300,Surtimax 0,Guatemala
P301,Insumos Globales 1,Costa Rica
P302,Distribuidora Atlas 2,El Salvador
P303,Tecnosupply 3,Guatemala
P304,Insumos Globales 4,Guatemala
P305,Tecnosupply 5,El Salvador
P306,Compured 6,El Salvador
P307,Ofimarket 7,El Salvador
P308,Papelera Unión 8,Guatemala
P309,Compured 9,Guatemala
P310,Tecnosupply 10,Costa Rica
P311,Insumos Globales 11,Honduras
P312,Surtimax 12,El Salvador
P313,Tecnosupply 13,Guatemala
P314,Insumos Globales 14,Guatemala
P315,Mayorista Centro 15,El Salvador
P316,Logiparts 16,Honduras
P317,Distribuidora Atlas 17,El Salvador
P318,Distribuidora Atlas 18,Honduras
P319,Electropro 19,Guatemala
P320,Electropro 20,Honduras
P321,Compured 21,Costa Rica
P322,Logiparts 22,Guatemala
P323,Papelera Unión 23,Costa Rica
P324,Distribuidora Atlas 24,El Salvador
P325,Electropro 25,El Salvador
P326,Logiparts 26,El Salvador
P327,Ofimarket 27,Honduras
P328,Papelera Unión 28,Guatemala
P329,Tecnosupply 29,El Salvador
P330,Logiparts 30,El Salvador
P331,Surtimax 31,Guatemala
P332,Electropro 32,El Salvador
P333,Tecnosupply 33,Costa Rica
P334,Tecnosupply 34,Guatemala
